Monitoring outputs/han_deberta_large_full/training_log.jsonl every 300s
Press Ctrl+C to stop

[20:03:35] No log entries yet. Process alive: True
[03:33:42] epoch=1 step=3850 loss=0.6832 | process=ALIVE
[03:38:42] epoch=1 step=4050 loss=0.6835 | process=ALIVE
[03:43:42] epoch=1 step=4250 loss=0.6833 | process=ALIVE
[03:48:42] epoch=1 step=4500 loss=0.6836 | process=ALIVE
[03:53:42] epoch=1 step=4700 loss=0.6838 | process=ALIVE
[03:58:42] epoch=1 step=4950 loss=0.6838 | process=ALIVE
[04:03:43] epoch=1 step=5100 loss=0.6837 | process=ALIVE
[04:08:43] epoch=1 step=5300 loss=0.6839 | process=ALIVE
[04:13:43] epoch=1 step=5450 loss=0.6837 | process=ALIVE
[04:18:43] epoch=1 step=5650 loss=0.6839 | process=ALIVE
[04:23:43] epoch=1 step=5800 loss=0.6835 | process=ALIVE
[04:28:43] epoch=1 step=6000 loss=0.6838 | process=ALIVE
[04:33:43] epoch=1 step=6150 loss=0.6835 | process=ALIVE
[04:38:43] epoch=1 step=6300 loss=0.6835 | process=ALIVE
[04:43:43] epoch=1 step=6500 loss=0.6831 | process=ALIVE
[04:48:43] epoch=1 step=6650 loss=0.6829 | process=ALIVE
[04:53:43] epoch=1 step=6850 loss=0.6825 | process=ALIVE
[04:58:44] epoch=1 step=7000 loss=0.6825 | process=ALIVE
[05:03:44] epoch=1 step=7150 loss=0.6823 | process=ALIVE
[05:08:44] epoch=1 step=7350 loss=0.682 | process=ALIVE
[05:13:44] epoch=1 step=7500 loss=0.6818 | process=ALIVE
[05:18:44] epoch=1 step=7650 loss=0.6816 | process=ALIVE
[05:23:44] epoch=1 step=7850 loss=0.6817 | process=ALIVE
[05:28:44] epoch=1 step=8000 loss=0.6814 | process=ALIVE
[05:33:44] epoch=1 step=8150 loss=0.6813 | process=ALIVE
[05:38:44] epoch=1 step=8350 loss=0.6812 | process=ALIVE
[05:43:44] epoch=1 step=8500 loss=0.6811 | process=ALIVE
[05:48:44] epoch=1 step=8650 loss=0.6809 | process=ALIVE
[05:53:45] epoch=1 step=8850 loss=0.6809 | process=ALIVE
[05:58:45] epoch=1 step=9000 loss=0.6808 | process=ALIVE
[06:03:45] epoch=1 step=9200 loss=0.6807 | process=ALIVE
[06:08:45] epoch=1 step=9350 loss=0.6808 | process=ALIVE
[06:13:45] epoch=1 step=9500 loss=0.6805 | process=ALIVE
[06:18:45] epoch=1 step=9700 loss=0.6806 | process=ALIVE
[06:23:45] epoch=1 step=9850 loss=0.6806 | process=ALIVE
[06:28:45] epoch=1 step=10000 loss=0.6806 | process=ALIVE
[06:33:45] epoch=1 step=10200 loss=0.6809 | process=ALIVE
[06:38:45] epoch=1 step=10350 loss=0.6809 | process=ALIVE
[06:43:45] epoch=1 step=10550 loss=0.6807 | process=ALIVE
[06:48:45] epoch=1 step=10700 loss=0.6808 | process=ALIVE
[06:53:45] epoch=1 step=10900 loss=0.6804 | process=ALIVE
[06:58:46] epoch=1 step=11050 loss=0.6804 | process=ALIVE
[07:03:46] epoch=1 step=11200 loss=0.6805 | process=ALIVE
[07:08:46] epoch=1 step=11400 loss=0.6803 | process=ALIVE
[07:13:46] epoch=1 step=11550 loss=0.6802 | process=ALIVE
[07:18:46] epoch=1 step=11750 loss=0.6802 | process=ALIVE
[07:23:46] epoch=1 step=11950 loss=0.6802 | process=ALIVE
[07:28:46] epoch=1 step=12100 loss=0.6801 | process=ALIVE
[07:33:46] epoch=1 step=12250 loss=0.68 | process=ALIVE
